model_name; number_of_approximations; coeff_of_determination;
3_column_1_row_1_SGD;2621440;0.9018440335588152;
3_column_2_row_1_SGD;1310720;0.9030639086070882;
3_column_3_row_1_SGD;875520;0.9046887472319078;
3_column_4_row_1_SGD;655360;0.9028638108468524;
3_column_5_row_1_SGD;527360;0.9013514578307432;
3_column_1_row_2_SGD;1310720;0.901559581651048;
3_column_2_row_2_SGD;655360;0.8997161412853001;
3_column_3_row_2_SGD;437760;0.9026073387834556;
3_column_4_row_2_SGD;327680;0.8975807926416736;
3_column_5_row_2_SGD;263680;0.9005704941905649;
3_column_1_row_3_SGD;875520;0.9002687459560941;
3_column_2_row_3_SGD;437760;0.8960744385901536;
3_column_3_row_3_SGD;292410;0.8995415460360059;
3_column_4_row_3_SGD;218880;0.8984005842624919;
3_column_5_row_3_SGD;176130;0.9018465241333278;
3_column_1_row_4_SGD;655360;0.9010061297048312;
3_column_2_row_4_SGD;327680;0.9012928718046163;
3_column_3_row_4_SGD;218880;0.8970211635949088;
3_column_4_row_4_SGD;163840;0.9018409554541595;
3_column_5_row_4_SGD;131840;0.9009369695265287;
3_column_1_row_5_SGD;527360;0.9009282533162567;
3_column_2_row_5_SGD;263680;0.9035144189863733;
3_column_3_row_5_SGD;176130;0.9012795920870199;
3_column_4_row_5_SGD;131840;0.9023804839041808;
3_column_5_row_5_SGD;106090;0.9010977387301471;
3_column_1_row_1_Ridge;2621440;0.9048792888482339;
3_column_2_row_1_Ridge;1310720;0.9043694760978499;
3_column_3_row_1_Ridge;875520;0.9054274178579726;
3_column_4_row_1_Ridge;655360;0.9040665219614458;
3_column_5_row_1_Ridge;527360;0.904119902558395;
3_column_1_row_2_Ridge;1310720;0.9060360372738719;
3_column_2_row_2_Ridge;655360;0.9056130084455571;
3_column_3_row_2_Ridge;437760;0.9061505438822383;
3_column_4_row_2_Ridge;327680;0.9051119791518648;
3_column_5_row_2_Ridge;263680;0.9052273423331532;
3_column_1_row_3_Ridge;875520;0.9039990114265846;
3_column_2_row_3_Ridge;437760;0.9032055069289541;
3_column_3_row_3_Ridge;292410;0.9045233914853957;
3_column_4_row_3_Ridge;218880;0.9023635525126912;
3_column_5_row_3_Ridge;176130;0.9046559335045065;
3_column_1_row_4_Ridge;655360;0.9057356771494335;
3_column_2_row_4_Ridge;327680;0.9053208093971855;
3_column_3_row_4_Ridge;218880;0.9052097792138781;
3_column_4_row_4_Ridge;163840;0.9051917087260447;
3_column_5_row_4_Ridge;131840;0.9041790245038754;
3_column_1_row_5_Ridge;527360;0.906613531364999;
3_column_2_row_5_Ridge;263680;0.9059610653667538;
3_column_3_row_5_Ridge;176130;0.9060171892386887;
3_column_4_row_5_Ridge;131840;0.9063155783223782;
3_column_5_row_5_Ridge;106090;0.9049774052384802;
4_column_1_row_1_SGD;2621440;0.9238400465983646;
4_column_2_row_1_SGD;1310720;0.9237858005162195;
4_column_3_row_1_SGD;875520;0.9235304387457681;
4_column_4_row_1_SGD;655360;0.9282408949399894;
4_column_5_row_1_SGD;527360;0.9231201055602892;
4_column_1_row_2_SGD;1310720;0.926620209235368;
4_column_2_row_2_SGD;655360;0.9200400291873101;
4_column_3_row_2_SGD;437760;0.9247185061190719;
4_column_4_row_2_SGD;327680;0.9214330409447601;
4_column_5_row_2_SGD;263680;0.9261076340929203;
4_column_1_row_3_SGD;875520;0.9255577407845614;
4_column_2_row_3_SGD;437760;0.9225826181653274;
4_column_3_row_3_SGD;292410;0.924529898457659;
4_column_4_row_3_SGD;218880;0.9194797669277981;
4_column_5_row_3_SGD;176130;0.9222517410311172;
4_column_1_row_4_SGD;655360;0.9256479776957526;
4_column_2_row_4_SGD;327680;0.9232934038215228;
4_column_3_row_4_SGD;218880;0.927924505287978;
4_column_4_row_4_SGD;163840;0.9237348153070685;
4_column_5_row_4_SGD;131840;0.9224146116037348;
4_column_1_row_5_SGD;527360;0.9290513852626092;
4_column_2_row_5_SGD;263680;0.9236377504314556;
4_column_3_row_5_SGD;176130;0.9287586716997476;
4_column_4_row_5_SGD;131840;0.9233782823376949;
4_column_5_row_5_SGD;106090;0.9248549436800502;
4_column_1_row_1_Ridge;2621440;0.9268721463279616;
4_column_2_row_1_Ridge;1310720;0.9263509992432455;
4_column_3_row_1_Ridge;875520;0.9272334840708022;
4_column_4_row_1_Ridge;655360;0.9262825317853585;
4_column_5_row_1_Ridge;527360;0.9260669530041175;
4_column_1_row_2_Ridge;1310720;0.9277305684862951;
4_column_2_row_2_Ridge;655360;0.9273012951489785;
4_column_3_row_2_Ridge;437760;0.9277004639441416;
4_column_4_row_2_Ridge;327680;0.927152911806534;
4_column_5_row_2_Ridge;263680;0.9273678197596282;
4_column_1_row_3_Ridge;875520;0.9262042636746705;
4_column_2_row_3_Ridge;437760;0.9255647130337549;
4_column_3_row_3_Ridge;292410;0.9266076692164044;
4_column_4_row_3_Ridge;218880;0.9245070474138093;
4_column_5_row_3_Ridge;176130;0.9267199543109474;
4_column_1_row_4_Ridge;655360;0.927361479425523;
4_column_2_row_4_Ridge;327680;0.9268700953213174;
4_column_3_row_4_Ridge;218880;0.9268681613680866;
4_column_4_row_4_Ridge;163840;0.9271033394079862;
4_column_5_row_4_Ridge;131840;0.9263445325485576;
4_column_1_row_5_Ridge;527360;0.9284806576679552;
4_column_2_row_5_Ridge;263680;0.9277585397191872;
4_column_3_row_5_Ridge;176130;0.92812020511958;
4_column_4_row_5_Ridge;131840;0.9282604526807204;
4_column_5_row_5_Ridge;106090;0.9270287371376925;
5_column_1_row_1_SGD;2621440;0.9367111146085788;
5_column_2_row_1_SGD;1310720;0.9376190775973123;
5_column_3_row_1_SGD;875520;0.9360403304295202;
5_column_4_row_1_SGD;655360;0.9373504313792875;
5_column_5_row_1_SGD;527360;0.941930080841582;
5_column_1_row_2_SGD;1310720;0.938354786272183;
5_column_2_row_2_SGD;655360;0.938330615516916;
5_column_3_row_2_SGD;437760;0.9394344634412042;
5_column_4_row_2_SGD;327680;0.93701905657239;
5_column_5_row_2_SGD;263680;0.9360938408128409;
5_column_1_row_3_SGD;875520;0.9359518514130127;
5_column_2_row_3_SGD;437760;0.938628855578142;
5_column_3_row_3_SGD;292410;0.9336646260619088;
5_column_4_row_3_SGD;218880;0.935321307758417;
5_column_5_row_3_SGD;176130;0.9419325789791767;
5_column_1_row_4_SGD;655360;0.9351955247805795;
5_column_2_row_4_SGD;327680;0.9405871939445785;
5_column_3_row_4_SGD;218880;0.9356282937499052;
5_column_4_row_4_SGD;163840;0.9389650724166467;
5_column_5_row_4_SGD;131840;0.9388891692168994;
5_column_1_row_5_SGD;527360;0.9387609825742358;
5_column_2_row_5_SGD;263680;0.9368747851848085;
5_column_3_row_5_SGD;176130;0.939476858230962;
5_column_4_row_5_SGD;131840;0.9391461001424486;
5_column_5_row_5_SGD;106090;0.9374469862318235;
5_column_1_row_1_Ridge;2621440;0.9406190691621044;
5_column_2_row_1_Ridge;1310720;0.9402935996712836;
5_column_3_row_1_Ridge;875520;0.940984682437774;
5_column_4_row_1_Ridge;655360;0.9400246386154238;
5_column_5_row_1_Ridge;527360;0.9400864560267465;
5_column_1_row_2_Ridge;1310720;0.9413898021212901;
5_column_2_row_2_Ridge;655360;0.9411725552961796;
5_column_3_row_2_Ridge;437760;0.9414778831998802;
5_column_4_row_2_Ridge;327680;0.9409731221709966;
5_column_5_row_2_Ridge;263680;0.941070619040009;
5_column_1_row_3_Ridge;875520;0.9400021238478729;
5_column_2_row_3_Ridge;437760;0.9395109741142409;
5_column_3_row_3_Ridge;292410;0.9403203786442491;
5_column_4_row_3_Ridge;218880;0.9383127392071078;
5_column_5_row_3_Ridge;176130;0.9401606066988617;
5_column_1_row_4_Ridge;655360;0.9409820178396546;
5_column_2_row_4_Ridge;327680;0.9406237493458419;
5_column_3_row_4_Ridge;218880;0.9408625064549981;
5_column_4_row_4_Ridge;163840;0.940625733693943;
5_column_5_row_4_Ridge;131840;0.9401644601976726;
5_column_1_row_5_Ridge;527360;0.9419562219997344;
5_column_2_row_5_Ridge;263680;0.9415841853550192;
5_column_3_row_5_Ridge;176130;0.9418136695457876;
5_column_4_row_5_Ridge;131840;0.9415796075658626;
5_column_5_row_5_Ridge;106090;0.9410106884141813;
6_column_1_row_1_SGD;2621440;0.9440773930612799;
6_column_2_row_1_SGD;1310720;0.9451810688869228;
